date,cum_units
2020-02-28,690.0500000000004
2020-02-29,710.0100000000004
2020-03-01,710.7600000000004
2020-03-02,712.0000000000005
2020-03-03,717.0800000000005
2020-03-04,719.0300000000005
2020-03-06,721.1500000000005
2020-03-07,736.0000000000006
2020-03-08,731.9800000000006
2020-03-09,730.2600000000006
2020-03-10,731.2500000000006
2020-03-11,728.2500000000006
2020-03-13,729.6600000000005
2020-03-14,726.2800000000005
2020-03-15,732.4300000000005
2020-03-17,731.4300000000005
2020-05-16,731.1600000000005
2020-05-17,728.1600000000005
2020-05-18,727.1600000000005
2020-05-22,726.1600000000005
2020-05-23,723.7200000000005
2020-05-24,723.5700000000005
2020-05-26,727.1700000000005
2020-05-27,722.1700000000005
2020-05-28,723.5700000000005
2020-05-29,722.5700000000005
2020-05-30,723.0600000000005
2020-05-31,721.5600000000005
2020-06-01,721.1600000000005
2020-06-03,716.1600000000005
2020-06-04,716.7600000000006
2020-06-05,721.1600000000005
2020-06-06,726.4500000000005
2020-06-07,725.5100000000004
2020-06-08,723.5100000000004
2020-06-09,720.5100000000004
2020-06-10,719.5100000000004
2020-06-11,718.4700000000005
2020-06-12,721.2500000000005
2020-06-13,727.4200000000004
2020-06-14,737.9100000000004
2020-06-15,734.8600000000005
2020-06-16,737.7200000000005
2020-06-17,731.0200000000004
2020-06-18,727.4400000000004
2020-06-19,725.4800000000004
2020-06-20,739.9000000000003
2020-06-21,738.6000000000004
2020-06-22,743.5200000000003
2020-06-23,739.5000000000003
2020-06-24,749.8500000000004
2020-06-25,757.7000000000004
2020-06-26,763.5200000000004
2020-06-27,760.3600000000005
2020-06-28,760.2800000000004
2020-06-29,755.9100000000004
2020-06-30,759.0100000000004
2020-07-01,763.3200000000004
2020-07-02,767.0600000000004
2020-07-03,764.1100000000004
2020-07-04,759.7100000000004
2020-07-05,776.6700000000004
2020-07-06,780.0400000000004
2020-07-07,786.4400000000004
2020-07-08,773.9200000000004
2020-07-09,777.8000000000004
2020-07-10,774.8000000000004
2020-07-11,782.4700000000004
2020-07-12,797.9100000000004
2020-07-13,800.5800000000004
2020-07-14,804.3300000000004
2020-07-15,803.2000000000004
2020-07-16,801.2800000000004
2020-07-17,799.2500000000005
2020-07-18,793.5300000000004
2020-07-19,808.9200000000004
2020-07-20,808.1000000000004
2020-07-21,808.7900000000004
2020-07-22,805.4200000000004
2020-07-23,810.5900000000004
2020-07-24,812.7000000000004
2020-07-25,814.8000000000004
2020-07-26,820.9500000000004
2020-07-27,822.2900000000004
2020-07-28,822.4100000000004
2020-07-29,828.7100000000004
2020-07-31,824.7100000000004
2020-08-01,823.5300000000004
2020-08-02,819.0400000000004
2020-08-03,818.0400000000004
2020-08-07,817.0400000000004
2020-08-08,818.1400000000004
2020-08-09,823.7600000000004
2020-08-10,825.8600000000005
2020-08-14,827.0600000000005
2020-08-15,827.3900000000006
2020-08-16,831.0800000000006
2020-08-21,832.2100000000006
2020-08-22,827.7600000000006
2020-08-23,822.4100000000005
2020-08-24,819.4100000000005
2020-08-28,818.4100000000005
2020-08-29,824.3300000000005
2020-08-30,817.9100000000005
2020-09-10,821.5100000000006
2020-09-11,821.5100000000006
2020-09-12,820.9400000000005
2020-09-13,830.5800000000005
2020-09-14,836.4000000000005
2020-09-16,835.4000000000005
2020-09-17,837.7300000000006
2020-09-18,833.8800000000006
2020-09-19,843.9200000000005
2020-09-20,836.3100000000005
2020-09-21,835.0500000000005
2020-09-25,837.2000000000005
2020-09-26,850.2200000000005
2020-09-27,861.5500000000005
2020-09-28,857.1400000000006
2020-09-29,856.1400000000006
2020-09-30,857.7400000000006
2020-10-01,857.2300000000006
2020-10-02,850.5300000000005
2020-10-03,859.7900000000005
2020-10-04,876.4200000000005
2020-10-05,875.4200000000005
2020-10-06,878.6000000000005
2020-10-10,874.7700000000004
2020-10-11,874.0500000000004
2020-10-12,875.1500000000004
2020-10-13,873.7500000000005
2020-10-16,874.2100000000005
2020-10-17,893.8800000000005
2020-10-18,905.7100000000005
2020-10-19,906.0400000000005
2020-10-20,903.9200000000005
2020-10-21,904.7500000000006
2020-10-22,904.9100000000005
2020-10-23,900.9100000000005
2020-10-24,888.9100000000005
2020-10-25,895.7000000000005
2020-10-26,893.5800000000005
2020-10-27,891.7800000000005
2020-10-28,893.5400000000005
2020-10-29,890.6600000000005
2020-10-30,894.4600000000005
2020-10-31,869.9800000000005
